prob_class_0,prob_class_1,prob_class_2,prob_class_3,max_probability,predicted_class,predicted_class_name
0.9999931,6.579755e-06,2.0190791e-07,9.252626e-08,0.9999931,0,none
0.99999964,1.6749466e-07,6.241176e-08,1.4751497e-07,0.99999964,0,none
0.99999964,9.7775576e-08,8.186036e-08,2.2251994e-07,0.99999964,0,none
0.9999999,2.8472167e-09,1.06814326e-07,1.1366894e-08,0.9999999,0,none
0.99999917,8.319988e-08,6.743289e-07,9.1829186e-08,0.99999917,0,none
0.9999994,6.625194e-08,5.0495186e-07,3.5809844e-08,0.9999994,0,none
0.9999982,4.3842103e-09,1.294927e-06,5.030368e-07,0.9999982,0,none
0.9998975,9.395191e-05,1.6773178e-06,6.8494405e-06,0.9998975,0,none
0.99997413,2.5185982e-05,4.877845e-07,2.0109199e-07,0.99997413,0,none
0.9999949,2.9665208e-07,7.2268836e-07,4.0947302e-06,0.9999949,0,none
0.99999714,2.5922811e-06,5.5372762e-08,2.7251872e-07,0.99999714,0,none
0.9999988,5.024948e-07,7.930918e-08,5.6385056e-07,0.9999988,0,none
0.9999957,1.1827127e-06,4.1465998e-07,2.6935404e-06,0.9999957,0,none
0.9999223,6.5885405e-07,1.0294718e-05,6.68004e-05,0.9999223,0,none
0.9999951,1.0157958e-06,3.4307805e-06,4.880921e-07,0.9999951,0,none
0.99999344,5.8174683e-06,5.104432e-07,2.3399275e-07,0.99999344,0,none
0.9999968,8.046908e-07,3.886832e-07,2.0641362e-06,0.9999968,0,none
0.99999917,5.786949e-07,2.1640957e-07,5.978129e-08,0.99999917,0,none
0.999982,1.5739117e-05,1.767056e-06,5.4798187e-07,0.999982,0,none
0.9999981,5.0456316e-07,1.7099286e-07,1.2512903e-06,0.9999981,0,none
0.99999404,1.9746267e-08,5.668945e-06,2.296514e-07,0.99999404,0,none
0.9999999,3.795413e-08,7.22385e-08,5.0539118e-08,0.9999999,0,none
0.9999993,4.584538e-07,2.756583e-07,2.0876543e-08,0.9999993,0,none
0.9999993,6.115484e-07,1.1913516e-07,6.0372654e-09,0.9999993,0,none
0.99999964,2.0183954e-07,1.1611292e-07,8.3740105e-08,0.99999964,0,none
0.99999905,3.2518693e-07,2.760132e-08,5.673459e-07,0.99999905,0,none
0.99999917,2.741083e-08,6.539972e-07,1.4864905e-07,0.99999917,0,none
0.9999989,9.516136e-09,4.2941803e-08,1.0279462e-06,0.9999989,0,none
0.9999994,1.8273177e-08,1.7916912e-07,3.7203495e-07,0.9999994,0,none
0.99999917,4.3302742e-07,2.2063452e-07,2.3603319e-07,0.99999917,0,none
0.9999989,7.196462e-08,7.4469887e-07,2.0492995e-07,0.9999989,0,none
0.99996626,2.605733e-05,1.1731715e-07,7.5275916e-06,0.99996626,0,none
0.9999877,7.472648e-06,3.998089e-06,8.2852637e-07,0.9999877,0,none
0.9999064,8.864637e-05,2.4699605e-06,2.4796536e-06,0.9999064,0,none
0.9998375,4.758469e-07,3.5453384e-05,0.00012647956,0.9998375,0,none
0.99996924,1.0240962e-05,1.7948201e-05,2.5161983e-06,0.99996924,0,none
0.9991794,0.0006137912,0.00019493031,1.1806608e-05,0.9991794,0,none
0.99908996,0.00083803444,1.3519199e-05,5.852161e-05,0.99908996,0,none
0.9999107,1.28703605e-05,2.2591848e-05,5.3814423e-05,0.9999107,0,none
0.9999887,1.920312e-06,5.0613944e-06,4.3113178e-06,0.9999887,0,none
0.9994475,6.654708e-05,8.502524e-06,0.0004774308,0.9994475,0,none
0.9994728,0.00040366658,0.00011268345,1.0837399e-05,0.9994728,0,none
0.9997384,1.18864655e-05,0.00022653851,2.3124034e-05,0.9997384,0,none
0.9998085,0.00017125931,1.9292322e-05,1.0282424e-06,0.9998085,0,none
0.99998236,6.802006e-06,5.3437643e-06,5.553923e-06,0.99998236,0,none
